Tom,1:57 2/2/3920,122
Jim,1:57 2/2/3920,120
TomH,1:50 2/3/2020,156
Jim,1:50 2/3/2020,150
Sak,4:50 2/3/2020,141
Sak,4:51 2/3/2020,141
Sig,4:51 2/3/2020,130
Ani,4:51 2/3/2020,106
Jim,7:15 2/3/2020,121
Ani,7:15 2/3/2020,146
TomH,7:16 2/3/2020,145
Tom,11:26 2/4/2020,116
Mike,2:9 2/4/2020,113
Mike,2:12 2/4/2020,123
Jim,17:45 03/25/2020,124
Jim,14:26 03/26/2020,139
Tom,14:26 03/26/2020,101
Mike,15:32 03/26/2020,125
TomH,15:32 03/26/2020,126
Jim,15:33 03/26/2020,178
Mike,15:36 03/26/2020,130
Tom,15:36 03/26/2020,121
Jim,15:36 03/26/2020,144
Tom,15:37 03/26/2020,115
Lana,15:38 03/26/2020,92
Lana,15:39 03/26/2020,132
Ani,15:39 03/26/2020,132
Tom,15:39 03/26/2020,145
Tom,15:39 03/26/2020,123
Jim,20:20 03/28/2020,102
Lana,20:20 03/28/2020,143
Tom,20:36 03/28/2020,159
TomH,20:36 03/28/2020,152
Tom,20:43 03/28/2020,147
Mike,21:01 03/28/2020,134
Ani,21:02 03/28/2020,96
Mike,21:45 03/28/2020,165
Lana,21:45 03/28/2020,95
Jim,14:50 04/01/2020,114
Mike,15:05 04/01/2020,108
Lana,17:33 04/01/2020,106
Mike,17:33 04/01/2020,189
Jim,18:44 04/01/2020,122
TomH,18:44 04/01/2020,110
Lana,23:28 04/01/2020,148
Jim,23:28 04/01/2020,88
Tom,23:28 04/01/2020,151
Jim,23:28 04/01/2020,164
TomH,23:28 04/01/2020,180
TomH,23:29 04/01/2020,145
Lana,03:06 04/04/2020,150
Jim,03:06 04/04/2020,143
Jim,00:43 04/06/2020,131
Mike,11:10 04/07/2020,117
